"Fiscal Year","Employer (Petitioner) Name","Tax ID","Industry (NAICS) Code","Petitioner City","Petitioner State","Petitioner Zip Code","Initial Approval","Initial Denial","Continuing Approval","Continuing Denial"
"2024","IRONCLAD AEROSPACE","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","DENVER","CO","","1","0","5","1"
"2026","IRONCLAD AEROSPACE","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","DENVER","CO","","39","1","30","0"
"2024","SAFFRON ADS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHICAGO","IL","","33","0","44","1"
"2025","SAFFRON ADS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHICAGO","IL","","11","1","65","5"
"2026","SAFFRON ADS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHICAGO","IL","","32","3","16","2"
"2024","OAKHAVEN ENTERPRISE CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","ATLANTA","GA","","19","0","16","4"
"2026","OAKHAVEN ENTERPRISE CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","ATLANTA","GA","","32","2","73","3"
"2024","CINDER CLOUD CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","12","2","17","5"
"2025","CINDER CLOUD CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","23","3","33","0"
"2026","CINDER CLOUD CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","22","2","42","2"
"2024","LARKSPUR HEALTH LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","6","1","34","0"
"2025","LARKSPUR HEALTH LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","24","3","55","3"
"2026","LARKSPUR HEALTH LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","13","1","74","5"
"2024","GRANITE BANK INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHARLOTTE","NC","","30","1","68","4"
"2025","GRANITE BANK INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHARLOTTE","NC","","23","0","33","0"
"2026","GRANITE BANK INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHARLOTTE","NC","","1","3","48","5"
"2024","HALCYON TRAVEL LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","39","1","48","3"
"2025","HALCYON TRAVEL LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","12","2","27","0"
"2026","HALCYON TRAVEL LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","16","3","55","4"
"2024","FOXGLOVE EDUCATION LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SALT LAKE CITY","UT","","21","3","62","2"
"2025","FOXGLOVE EDUCATION LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SALT LAKE CITY","UT","","29","3","66","1"
"2024","RIVERBEND SECURITY LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","22","1","3","0"
"2025","RIVERBEND SECURITY LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","36","1","74","5"
"2026","RIVERBEND SECURITY LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","14","0","34","5"
"2024","ANCHORLINE ECOMMERCE LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","25","2","76","3"
"2025","ANCHORLINE ECOMMERCE LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","8","3","2","2"
"2026","ANCHORLINE ECOMMERCE LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","36","0","24","5"
"2024","GOOGLE LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MOUNTAIN VIEW","CA","","1533","62","5482","4"
"2025","GOOGLE LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MOUNTAIN VIEW","CA","","2927","36","4764","2"
"2026","GOOGLE LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MOUNTAIN VIEW","CA","","1529","73","5755","84"
"2024","MICROSOFT CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REDMOND","WA","","1209","30","3516","56"
"2025","MICROSOFT CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REDMOND","WA","","2006","64","1003","100"
"2026","MICROSOFT CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REDMOND","WA","","1007","82","1441","31"
"2024","AMAZON.COM SERVICES LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","3497","115","7222","147"
"2025","AMAZON.COM SERVICES LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","3974","30","4609","41"
"2026","AMAZON.COM SERVICES LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","3461","240","6760","229"
"2024","META PLATFORMS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MENLO PARK","CA","","1929","30","940","66"
"2025","META PLATFORMS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MENLO PARK","CA","","1634","46","1296","45"
"2026","META PLATFORMS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MENLO PARK","CA","","1941","75","3976","56"
"2024","APPLE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CUPERTINO","CA","","1097","42","2235","39"
"2025","APPLE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CUPERTINO","CA","","1157","34","1062","19"
"2026","APPLE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CUPERTINO","CA","","1002","68","2698","63"
"2024","STRIPE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SOUTH SAN FRANCISCO","CA","","241","1","357","0"
"2025","STRIPE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SOUTH SAN FRANCISCO","CA","","244","12","380","4"
"2026","STRIPE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SOUTH SAN FRANCISCO","CA","","129","7","122","4"
"2024","FIGMA INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","40","4","54","4"
"2025","FIGMA INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","78","0","93","1"
"2026","FIGMA INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","41","2","105","1"
"2024","DATADOG INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","61","5","98","2"
"2025","DATADOG INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","145","2","102","6"
"2026","DATADOG INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","107","6","165","2"
"2024","CLOUDFLARE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","90","2","125","2"
"2025","CLOUDFLARE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","103","4","120","4"
"2026","CLOUDFLARE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","58","3","113","5"
"2024","AIRBNB INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","158","3","170","0"
"2025","AIRBNB INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","222","1","184","6"
"2026","AIRBNB INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","170","5","159","4"
"2024","DOORDASH INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","233","8","307","3"
"2025","DOORDASH INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","379","4","625","8"
"2026","DOORDASH INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","388","5","592","13"
"2024","SNOWFLAKE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","BOZEMAN","MT","","105","8","206","10"
"2025","SNOWFLAKE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","BOZEMAN","MT","","202","9","536","8"
"2026","SNOWFLAKE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","BOZEMAN","MT","","240","9","220","8"
"2024","DATABRICKS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","194","9","688","3"
"2025","DATABRICKS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","297","4","638","5"
"2026","DATABRICKS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","210","13","466","7"
"2024","NVIDIA CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SANTA CLARA","CA","","580","16","1411","22"
"2025","NVIDIA CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SANTA CLARA","CA","","916","14","1759","2"
"2026","NVIDIA CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SANTA CLARA","CA","","866","38","2183","46"
"2024","SALESFORCE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","813","10","1296","8"
"2025","SALESFORCE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","427","15","527","12"
"2026","SALESFORCE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","639","26","683","17"
"2024","ORACLE AMERICA INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","AUSTIN","TX","","1061","25","1540","23"
"2025","ORACLE AMERICA INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","AUSTIN","TX","","446","7","1155","25"
"2026","ORACLE AMERICA INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","AUSTIN","TX","","1008","31","1887","12"
"2024","INTEL CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SANTA CLARA","CA","","324","29","520","25"
"2025","INTEL CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SANTA CLARA","CA","","449","22","1543","27"
"2026","INTEL CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SANTA CLARA","CA","","881","24","1223","14"
"2024","NETFLIX INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","LOS GATOS","CA","","196","0","156","5"
"2025","NETFLIX INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","LOS GATOS","CA","","170","7","138","4"
"2026","NETFLIX INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","LOS GATOS","CA","","117","1","386","5"
"2024","UBER TECHNOLOGIES INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","509","2","911","0"
"2025","UBER TECHNOLOGIES INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","574","16","798","5"
"2026","UBER TECHNOLOGIES INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","368","6","1120","18"
"2024","LYFT INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","136","3","208","5"
"2025","LYFT INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","120","2","219","0"
"2026","LYFT INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","102","3","159","1"
"2024","ROBLOX CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN MATEO","CA","","58","0","68","0"
"2025","ROBLOX CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN MATEO","CA","","34","0","140","2"
"2026","ROBLOX CORPORATION","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN MATEO","CA","","63","0","133","0"
"2024","COINBASE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","99","2","191","3"
"2025","COINBASE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","71","4","126","0"
"2026","COINBASE INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","47","4","165","1"
"2024","PLAID INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","40","0","100","2"
"2025","PLAID INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","58","0","112","0"
"2026","PLAID INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","38","1","36","0"
"2024","NOTION LABS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","18","0","33","0"
"2025","NOTION LABS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","22","0","72","1"
"2026","NOTION LABS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","28","0","58","0"
"2024","RIPPLING PEOPLE CENTER INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","54","2","27","2"
"2025","RIPPLING PEOPLE CENTER INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","27","1","70","0"
"2026","RIPPLING PEOPLE CENTER INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","56","0","32","1"
"2024","BREX INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","28","0","21","1"
"2025","BREX INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","43","0","86","2"
"2026","BREX INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","44","2","31","1"
"2024","ANDURIL INDUSTRIES INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","COSTA MESA","CA","","22","1","33","0"
"2025","ANDURIL INDUSTRIES INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","COSTA MESA","CA","","21","0","27","0"
"2026","ANDURIL INDUSTRIES INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","COSTA MESA","CA","","18","1","52","0"
"2024","SCALE AI INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","42","3","69","3"
"2025","SCALE AI INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","55","0","54","0"
"2026","SCALE AI INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","37","2","75","0"
"2024","VERCEL INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","14","0","15","0"
"2025","VERCEL INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","14","1","10","1"
"2026","VERCEL INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","25","1","10","0"
"2024","MONGODB INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","58","0","99","0"
"2025","MONGODB INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","106","0","207","0"
"2026","MONGODB INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","57","4","166","3"
